tab	pmag_specimens
er_sample_name	er_specimen_name	specimen_int_uT	measurement_step_min	measurement_step_min	specimen_lab_field_dc	Anisotropy_correction_factor	NLT_correction_factor	Cooling_rate_correction_factor	specimen_dtr	specimen_int_mad_anc	specimen_int_n	specimen_dck	specimen_int_alpha	specimen_b_beta	specimen_dpal	specimen_f	specimen_q	specimen_dt
TS	TS01-26A-2	42.80	0	250	45	1.00	-	-	0.48	0.86	5.00	0.14	1.37	0.02	4.31	0.63	19.03	-999.00
TS	TS02-13A-2	52.10	0	350	45	1.00	-	-	1.02	0.45	9.00	1.06	0.08	0.02	4.19	0.87	40.44	-999.00
TS	TS01-20A-2	45.53	0	350	45	1.00	-	-	0.29	0.85	7.00	2.14	0.77	0.04	2.21	0.58	12.24	-999.00
TS	TS01-27A-2	55.32	150	500	45	1.00	-	-	1.42	0.96	9.00	3.74	1.61	0.03	4.48	0.63	15.89	-999.00
TS	TS02-05A-3	41.53	0	225	45	1.00	-	-	0.80	0.53	5.00	0.91	0.66	0.01	2.96	0.63	30.14	-999.00
TS	TS01-11A-2	45.34	500	600	45	1.00	-	-	1.00	0.90	6.00	3.97	0.25	0.02	3.93	0.65	24.51	-999.00
hw108	hw108a1	52.09	375	510	20	1.00	-	-	nan	1.05	7.00	3.00	0.93	0.05	2.23	0.52	8.29	-999.00
hw108	hw108a2	40.09	100	300	20	1.00	-	-	nan	2.50	6.00	0.50	4.24	0.02	0.88	0.65	19.16	-999.00
hw108	hw108a3	45.72	0	300	20	1.00	-	-	nan	1.89	7.00	1.24	5.88	0.02	1.28	0.54	19.32	-999.00
hw108	hw108a4	40.07	100	375	20	1.00	-	-	nan	1.42	9.00	1.77	1.95	0.04	1.28	0.72	14.42	-999.00
hw108	hw108a5	40.79	0	300	20	1.00	-	-	nan	1.13	7.00	2.37	0.81	0.01	3.82	0.92	92.62	-999.00
hw108	hw108b5	32.41	0	275	20	1.00	-	-	nan	2.94	6.00	1.74	4.12	0.03	3.62	0.58	11.83	-999.00
hw108	hw108c1	39.97	100	350	20	1.00	-	-	nan	0.61	8.00	2.19	0.49	0.01	2.89	0.85	35.68	-999.00
hw108	hw108c6	39.54	100	275	20	1.00	-	-	nan	2.76	6.00	4.11	6.43	0.07	4.02	0.53	5.75	-999.00
hw108	hw108c7	38.98	0	225	20	1.00	-	-	nan	0.99	5.00	1.02	1.53	0.02	0.41	0.68	28.79	-999.00
hw108	hw108c4	32.72	0	275	20	1.00	-	-	nan	2.47	6.00	2.31	7.26	0.02	2.25	0.53	16.94	-999.00
hw108	hw108b2	43.78	0	275	20	1.00	-	-	nan	1.21	6.00	1.49	3.72	0.06	4.58	0.50	5.55	-999.00
hw108	hw108c2	40.13	100	375	20	1.00	-	-	nan	0.24	9.00	2.95	0.04	0.02	3.85	0.86	30.74	-999.00
hw108	hw108c9	37.90	100	500	20	1.00	-	-	nan	1.64	15.00	4.11	0.48	0.02	4.07	0.83	32.04	-999.00
hw108	hw108c8	39.19	0	225	20	1.00	-	-	nan	1.93	5.00	0.37	4.19	0.05	0.30	0.68	8.88	-999.00
hw108	hw108c10	37.17	100	275	20	1.00	-	-	nan	2.58	6.00	2.37	6.02	0.05	3.95	0.56	8.36	-999.00
hw108	hw108c11	37.94	0	350	20	1.00	-	-	nan	2.52	10.00	4.48	3.12	0.04	3.37	0.61	11.64	-999.00
hw108	hw108c12	35.92	0	350	20	1.00	-	-	nan	0.75	10.00	2.57	0.24	0.05	1.70	0.95	14.33	-999.00
hw108	hw108c13	39.67	100	500	20	1.00	-	-	nan	1.44	15.00	4.24	0.18	0.01	1.77	0.86	61.02	-999.00
hw123	hw123a3	31.81	350	510	20	1.00	-	-	nan	1.23	8.00	4.27	0.41	0.06	4.10	0.62	8.67	-999.00
hw123	hw123a2	34.90	375	500	20	1.00	-	-	nan	0.58	6.00	2.71	0.71	0.06	1.05	0.80	7.89	-999.00
hw123	hw123a5	38.58	200	375	20	1.00	-	-	nan	1.15	8.00	4.21	2.03	0.03	0.71	0.50	13.50	-999.00
hw123	hw123a4	33.22	0	500	20	1.00	-	-	nan	0.61	15.00	1.89	0.53	0.03	1.58	0.92	26.16	-999.00
hw123	hw123a12	35.83	250	500	20	1.00	-	-	nan	5.98	11.00	3.51	5.86	0.06	4.23	0.64	9.77	-999.00
hw126	hw126a2	35.09	0	350	20	1.00	-	-	nan	2.30	9.00	3.67	2.30	0.03	4.39	0.91	19.49	-999.00
hw126	hw126a3	32.37	0	250	20	1.00	-	-	nan	1.41	5.00	2.51	2.57	0.01	2.45	0.70	74.62	-999.00
hw126	hw126a4	37.04	100	375	20	1.00	-	-	nan	2.21	9.00	1.75	1.92	0.02	3.96	0.80	29.83	-999.00
hw126	hw126a5	35.51	0	300	20	1.00	-	-	nan	1.43	7.00	2.33	1.27	0.01	4.13	0.92	86.28	-999.00
hw126	hw126b5	36.52	0	375	20	1.00	-	-	nan	0.39	10.00	2.15	0.25	0.01	3.53	0.92	90.48	-999.00
hw126	hw126b4	36.32	100	375	20	1.00	-	-	nan	1.01	9.00	3.82	0.96	0.01	4.51	0.76	32.87	-999.00
hw126	hw126b1	35.49	0	375	20	1.00	-	-	nan	0.71	10.00	1.76	0.56	0.01	3.85	0.95	60.16	-999.00
hw126	hw126b3	35.53	100	425	20	1.00	-	-	nan	1.05	11.00	2.21	0.83	0.02	4.01	0.79	28.56	-999.00
hw126	hw126b2	35.50	0	350	20	1.00	-	-	nan	0.57	9.00	2.80	0.48	0.01	4.60	0.92	62.85	-999.00
hw128	hw128c1	33.78	0	425	20	1.00	-	-	nan	1.15	12.00	1.67	2.35	0.02	3.82	0.57	22.19	-999.00
hw128	hw128a8	33.92	0	325	20	1.00	-	-	nan	1.14	9.00	2.44	1.08	0.02	4.72	0.69	26.78	-999.00
hw128	hw128a9	33.13	100	375	20	1.00	-	-	nan	0.75	10.00	0.74	2.62	0.02	2.04	0.51	18.11	-999.00
hw128	hw128c4	34.53	225	450	20	1.00	-	-	nan	0.75	10.00	0.96	0.44	0.02	2.17	0.70	24.94	-999.00
hw128	hw128c5	34.43	100	450	20	1.00	-	-	nan	0.40	12.00	1.18	0.17	0.01	0.58	0.72	41.54	-999.00
hw128	hw128a2	34.82	300	510	20	1.00	-	-	nan	1.78	10.00	2.00	1.65	0.03	4.93	0.52	13.65	-999.00
hw128	hw128a3	34.49	0	510	20	1.00	-	-	nan	1.45	16.00	3.11	1.33	0.03	4.08	1.04	32.18	-999.00
hw128	hw128a1	34.39	0	325	20	1.00	-	-	nan	2.23	8.00	3.61	4.12	0.02	4.26	0.75	34.52	-999.00
hw128	hw128a6	38.40	0	275	20	1.00	-	-	nan	2.44	7.00	1.91	3.81	0.08	2.56	0.72	7.24	-999.00
hw128	hw128c2	34.57	350	500	20	1.00	-	-	nan	0.51	7.00	1.65	0.13	0.02	1.78	0.60	19.34	-999.00
hw128	hw128a4	37.99	0	350	20	1.00	-	-	nan	0.49	9.00	2.08	0.97	0.02	1.09	0.57	23.24	-999.00
hw128	hw128a5	34.33	300	475	20	1.00	-	-	nan	0.60	8.00	1.70	0.64	0.06	4.17	0.62	9.13	-999.00
hw128	hw128c3	33.64	0	510	20	1.00	-	-	nan	0.62	16.00	3.26	0.34	0.01	1.27	0.99	100.23	-999.00
