tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	er_synthetic_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	154.1		g	-7.0	8.775e-06	3	u	2.730e+02	0	0	0	0	4.730e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	153.8		g	-6.7	8.647e-06	4	u	2.730e+02	0	0	0	0	5.730e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	153.9		g	-6.7	7.734e-06	5	u	2.730e+02	0	0	0	0	6.730e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.1	158.2		g	-6.4	7.033e-06	6	u	2.730e+02	0	0	0	0	7.230e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.1	154.5		g	-5.7	6.115e-06	7	u	2.730e+02	0	0	0	0	7.730e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	155.4		g	-4.3	3.200e-06	8	u	2.730e+02	0	0	0	0	8.230e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	154.6		g	-7.0	9.629e-07	9	u	2.730e+02	0	0	0	0	8.730e+02
	This study	HW9	ns034d	ns034	ns034d1		ns034d1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.3	156.0		g	-8.4	4.052e-07	10	u	2.730e+02	0	0	0	0	9.230e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.4.0	0.4	209.2		g	82.8	4.167e-05	1	u	2.730e+02	0	0	0	0	2.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	206.4		g	83.8	4.067e-05	2	u	2.730e+02	0	0	0	0	3.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	210.3		g	83.7	4.000e-05	3	u	2.730e+02	0	0	0	0	4.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	210.3		g	83.4	3.957e-05	4	u	2.730e+02	0	0	0	0	5.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	212.0		g	83.7	3.730e-05	5	u	2.730e+02	0	0	0	0	6.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	211.4		g	83.4	3.469e-05	6	u	2.730e+02	0	0	0	0	7.230e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.1	210.7		g	83.6	3.188e-05	7	u	2.730e+02	0	0	0	0	7.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	210.2		g	83.3	2.401e-05	8	u	2.730e+02	0	0	0	0	8.230e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	210.1		g	82.9	7.074e-06	9	u	2.730e+02	0	0	0	0	8.730e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.2	207.8		g	82.6	2.309e-06	10	u	2.730e+02	0	0	0	0	9.230e+02
	This study	HW9	ns034g	ns034	ns034g1		ns034g1:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.3	206.2		g	81.7	1.103e-06	11	u	2.730e+02	0	0	0	0	9.480e+02
