tab 	er_ages
age	age_culture_name	age_description	age_range_high	age_range_low	age_sigma	age_unit	astronomical_stage	biostrat_zone	conodont_zone	er_citation_names	er_expedition_name	er_formation_name	er_fossil_name	er_location_name	er_member_name	er_mineral_name	er_sample_name	er_site_name	er_specimen_name	er_timescale_citation_names	magic_method_codes	magnetic_reversal_chron	oxygen_stage	tiepoint_alternatives	tiepoint_elevation	tiepoint_height	tiepoint_height_sigma	tiepoint_name	tiepoint_type	timescale_eon	timescale_epoch	timescale_era	timescale_period	timescale_stage
			35	23		Ma				:Allerton et al. 1993:				Bosque Formation						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Oligocene	Cenozoic	Paleogene	
			200	176		Ma				:Mauritsch et al. 1995:				Lower Jurassic Limestones						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Early Jurassic	Mesozoic	Jurassic	
			56	34		Ma				:Pares et al. 1988:				Eocene sediments, Ebro Basin						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Eocene	Cenozoic	Paleogene	
			155	146		Ma				:Channell et al. 1992:				Upper Ammonotico Rosso						:Gradstein et al. 2004:	:GM-FOSSIL:									Phanerozoic	Late Jurassic	Mesozoic	Jurassic	Kimmeridgian - Tithonian
			416	359		Ma				:Grishin et al. 1991:				Ferghana Range Devonian Intrusions						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic		Paleozoic	Devonian	
			100	56		Ma				:Grishin et al. 1991:				Matakotanskaya Suite						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Cretaceous : Paleocene	Mesozoic : Cenozoic	Cretaceous : Paleogene	
			161	100		Ma				:Grishin et al. 1991:				Koryak Mesozoic Tuffs, Sediments						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Jurassic : Early Cretaceous	Mesozoic	Jurassic : Cretaceous	
			416	398		Ma				:Grishin et al. 1991:				Ferghana Range E.Devonian Intrusions						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Early Devonian	Paleozoic	Devonian	
			472	461		Ma				:Grishin et al. 1991:				Agyrek Basalts, Maykain-Kyziltas Zone						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Middle Ordovician	Paleozoic	Ordovician	
			461	428		Ma				:Grishin et al. 1991:				Agadyrskaya Zone Lavas, Jaspers						:Gradstein et al. 2004:	:GM-CC-STRAT:									Phanerozoic	Late Ordovician : Llandovery	Paleozoic	Ordovician : Silurian	
