tab 	pmag_results
antipodal	average_age	average_age_high	average_age_low	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_int	average_int_n	average_int_nn	average_int_rel	average_int_rel_sigma	average_int_rel_sigma_perc	average_int_sigma	average_int_sigma_perc	average_k	average_lat	average_lat_sigma	average_lon	average_lon_sigma	average_n	average_nn	average_r	average_sigma	conglomerate_test	contact_test	data_type	er_analyst_mail_names	er_citation_names	er_fossil_names	er_location_names	er_mineral_names	er_sample_names	er_site_names	er_specimen_names	er_synthetic_names	eta_dec	eta_inc	eta_semi_angle	external_database_ids	external_database_names	fold_test	fold_test_significance	magic_experiment_names	magic_method_codes	magic_software_packages	model_lat	model_lat_sigma	model_lon	model_lon_sigma	normal_alpha95	normal_dec	normal_inc	normal_k	normal_lat	normal_lon	normal_n	percent_reversed	pmag_criteria_codes	pmag_result_name	pmag_rotation_codes	pole_comp_name	result_description	reversal_test	reversed_alpha95	reversed_dec	reversed_inc	reversed_k	reversed_lat	reversed_lon	reversed_n	rock_magnetic_test	tilt_alpha95_corr	tilt_alpha95_uncorr	tilt_correction	tilt_dec_corr	tilt_dec_uncorr	tilt_inc_corr	tilt_inc_uncorr	tilt_k_corr	tilt_k_ratio	tilt_k_uncorr	tilt_n	vadm	vadm_n	vadm_sigma	vdm	vdm_n	vdm_sigma	vgp_alpha95	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n	vgp_sigma	zeta_dec	zeta_inc	zeta_semi_angle
		125	100		Ma	4.8	347.7		53.1									74.4	42.2		1.3		13	97			ND	ND	i		:Dinares-Turell & Garcia-Senz 2000:		:Organya Aptian-Albian Sediments:									8568	GPMDB	F+			:LP-DC4:DE-DI:LT-T-Z:													0		8568			Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST.	ND								M	4.8	31.7	100	347.7	356.3	53.1	11.4	74.4		2.7	13								6.7	4.6	77.1	233.9					
		50	40		Ma	3.1	2.5		54.4									140	44.2		4.1		15	248			ND	ND	i		:Henry et al. 2001:		:Cevennes Sediments, Comp.C:									8679	GPMDB	ND			:LP-DC5:DE-DI:LT-AF-Z:LT-T-Z:													0		8679		C	C Component. Thermal 100-300C+AF 35-40mT (sulphides) , 390-650C (other rocks). SUSC-T (MAGN). Early to Middle Eocene overprint.	ND								ND	2.9	3.1	0	108	2.5	59	54.4	158		140	15								4.4	3.1	81.6	165.5					
		112	94		Ma	10	336		52									90	38		351.5		4				ND	ND	i		:Marton et al. 2004:		:Lusitanian, Algarve Basins Cretaceous Sediments:									9236	GPMDB	F+			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													-1		9236			AF and thermal, characteristic component, 400-600C, 20-100mT. IRM, SUSC-T, 3-axis Jrs-T (MAGN). Some data from RESULTNOS 6206, 6207, 8191 are included.	ND								ND	10	18	100	336	341	52	45	90		28	4								14	9	70	253					
		398	359		Ma	5	209		2										43		103			27			ND	C+	i		:Grishin et al. 1991:		:Devonian Volcanics, Dzolin Range:									7354	GPMDB	F+			:LP-DC2:DE-DI:LT-T-Z:													100		7354		Pre-folding	Prefolding. Thermal to 200-520C.	ND								ND			100																5	2.5	38	244					
		1650	800		Ma	5	285		19									344	43.6		41.6		2	2			ND	ND	i		:Grishin et al. 1991:		:Boulgenskaya suite, Main Range:									6830	GPMDB	ND			:LP-DC3:DE-DI:LT-AF-Z:													100		6830			Thermal 350C, AF 20mT. Q (0. 13-0. 40). Data included in RESULTNO 6831. Superseded study.	ND								M			100																5.2	2.7	-18	129					
		85	50		Ma	7.9	331.2		34.2									243	38.2		26		3	110			ND	ND	i		:Muttoni et al. 1995:		:Marmarotrapeza Formation, Comp.B:									7768	GPMDB	SF+	95		:LP-DC4:DE-DI:LT-T-Z:LT-T-Z:													200		7768		B	B Component. Thermal to 680C. component 300-600C. Late Cretaceous to Eocene overprint suggested.	Ro								ND	24.6	12.5	30	329	332.1	49.9	27.2	26.1	9.31	97.7	3								9	5.2	58.3	266.2					
178.5		65	23		Ma	4	149		-44									52	42		12.8		21	170			ND	ND	i		:Mattei et al. 1995:		:Scaglia Formation, Sabrina Mountains:									7730	GPMDB	F+	99		:LP-DC4:DE-DI:LT-T-Z:						5.5	329.1	43.5	89			9	57		7730			Thermal to 560C, characteristic component. IRM (MAGN, HEM) ; SUSC; AN.	Rb	7.5	147.8	-44.7	34.8			12	M	4	12.8	100	149	166	-44	-45	52	7.32	7.1	21								5	3.1	60	260					
		245	228		Ma	12.3	42.9		51.1									39.8	50		19.5		5	50			ND	ND	i		:Symons et al. 1995:		:Muschelkalk Formation, Comp.A:									8383	GPMDB	ND			:LP-DC4:DE-DI:LT-AF-Z:LT-T-Z:													200		8383		A	A Component. AF to 100mT, thermal to 600C, characteristic component. IRM (sat. 0. 3T or no sat. 0. 9T). Late Triassic overprint suggested in REFNO 3592.	Ro								M			0																11.6	11.3	53.4	123.2					
		120	100		Ma	4.4	294.6		56.1									108	42.2		1.3		11	83			ND	ND	i		:Dinares-Turell & Garcia-Senz 2000:		:Organya Berriasian-Barremian Sediments, Group 1:									8566	GPMDB	ND			:LP-DC4:DE-DI:LT-T-Z:													0		8566		1	Group 1. Thermal to 500C, characteristic component 250-500C. IRM (sat. 0. 4T) ; HYST. Remagnetized in Albian-Aptian.	ND								M	4.4	4.3	100	294.6	342.4	56.1	29.1	108		111.3	11								6.3	4.6	40.4	287.9					
		56	34		Ma	1.9	20.8		56									238	43		23.1		23	138			G-	ND	i		:Jordanova et al. 2001:		:Bulgarian Triassic Carbonate:									8850	GPMDB	SF+			:LP-DC4:DE-DI:LT-T-Z:													5		8850		B syn-folding	B syn-folding. Thermal, characteristic component 400-580C. SUSC-T (HEM, MAGN). intersection of small circles applied. method of intersecting of small circles applied.	ND								ND	4.9	7.7	50	13.9	18.9	50.8	64.1	35		14	23								2.7	2	72.8	128.1					
