tab 	er_locations
continent_ocean	country	er_citation_names	er_location_alternatives	er_location_name	er_scientist_mail_names	geological_province_section	location_begin_elevation	location_begin_lat	location_begin_lon	location_class	location_description	location_end_elevation	location_end_lat	location_end_lon	location_geoid	location_lithology	location_precision	location_type	location_url	ocean_sea	plate_block	region	tectonic_setting	terrane	village_city
Europe	Italy	:Mattei et al. 1995:		Scaglia Formation, Montagna dei Fiori		Scaglia Formation		42.7	13.6	Sedimentary			42.7	13.6		Limestone : marl		Outcrop				Montagna dei Fiori			
Europe	Spain	:Juarez et al. 1995:		Iberian Range Sediments, Aguaton S Comp.				41.2	359.2	Sedimentary	Middle to Late Oxfordian.		41.2	359.2		Limestone		Outcrop				Spain		Iberia	
Europe	Spain	:Dinares-Turell & Garcia-Senz 2000:		Organya Cenomanian-Coniacian Sediments		Organya Basin		42.2	1.3	Sedimentary	Cenomanian to Coniacian.		42.2	1.3		Limestone : marl		Outcrop				Northern Spain		Iberia	
Europe	Ireland	:Symons et al. 2002:		Navan Zn-Pb Deposit		Navan Zn-Pb Deposit		53.6	353.3	Metamorphic : Sedimentary	Visean - Serpukhovian. Visean - Serpukhovian mineralisation.		53.6	353.3		sediments : metamorphics		Outcrop				Navan		East Avalon	
Europe	France	:Henry et al. 2001:		Cevennes Sediments, Comp.C				44.2	4.1	Sedimentary	Carboniferous to Triassic. Extent 50 km. outcrops and boreholes.		44.2	4.1		Limestone : Dolostone		Outcrop				Cevennes		Massif Central	
Europe	Latvia	:Katinas & Nawrocki 2004:		Cesis Carbonates		Cesis Carbonates		57.3	25.25	Sedimentary	Fransian - Famennian.		57.3	25.25		Dolostone		Outcrop				Latvia			
Europe	Lithuania	:Katinas & Nawrocki 2004:		Skaistgirys Carbonates		Skaistgirys Carbonates		56.31	23.39	Sedimentary	Fransian - Famennian.		56.31	23.39		Dolostone		Outcrop				Northern Lithuania			
Europe	Spain	:Pares et al. 1988:		Eocene sediments, Ebro Basin				41.7	2.5	Sedimentary			41.7	2.5		Redbeds		Outcrop				Spain		Iberia	
Europe	U.K.	:Potts 1990:		Torridon Group, Overprint		Torridon Group		57.5	353	Sedimentary	Applecross Formation. Eishort anticline.		57.5	353		Redbeds		Outcrop				Scotland			Isle of Skye
Europe	Russia	:Grishin et al. 1991:		Makerskaya Suite, Main Range, Locality 1		Makerskaya suite		43.4	41.5	Metamorphic	Superseded study.		43.4	41.5		metamorphics		Outcrop				N.Caucasus			
Europe	Italy	:Muttoni & Kent 1994:		Prezzo Limestone, Buchenstein Formation, Overprint		Prezzo Limestone and Buchenstein Formation		46	10.5	Sedimentary	Anisian age. Intruded by Adamello Batholith (30-42 Ma).		46	10.5		Limestone		Outcrop				Northern Italy			
Europe	Albania	:Mauritsch et al. 1995:		Upper Triassic Limestones				40	20.1	Sedimentary			40	20.1		Limestone		Outcrop				Albania			
Europe	Italy	:Mattei et al. 1995:		Guadagnolo Formation, Prenestini Mountains		Guadagnolo Formation		41.9	12.9	Sedimentary	Early-Middle Miocene.		41.9	12.9		Limestone : marl		Outcrop				Prenestini Mountains			
Europe	Italy	:Mattei et al. 1995:		Messinian Sediments, Marsica Area		Messinian Sediments		41.8	14	Sedimentary	Messinian age.		41.8	14		clays : Sandstone		Outcrop				Marsica Area			
Europe	Italy	:Mattei et al. 1995:		Scaglia Formation, Tiburtini Mountains		Scaglia Formation		42	12.9	Sedimentary			42	12.9		Limestone : marl		Outcrop				Tiburtini Mountains			
Europe	Portugal	:Moreau et al. 1997:		Algarve Basin Aptian-Albian Sediments				37	352	Sedimentary	Aptian to Albian.		37	352		Sandstone : Limestone		Outcrop				Algarve Basin		Iberia	
Europe	Portugal	:Moreau et al. 1997:		Algarve Basin Kimmeridgian-Valanginian Sediments				37	352	Sedimentary	Portlandian to Valanginian.		37	352		Sandstone : Limestone		Outcrop				Algarve Basin		Iberia	
Europe	Bulgaria	:Jordanova et al. 2001:		Bulgarian Triassic Carbonate				43	23.1	Sedimentary	Middle - Upper Triassic.		43	23.1		Limestone		Outcrop				West Balkan			
Europe	Portugal	:Marton et al. 2004:		Lusitanian, Algarve Basins Aptian Sediments				38	351.5	Sedimentary	Aptian.		38	351.5		sediments		Outcrop				South Portugal		Iberia	
Europe	Norway	:Jelenska & Vincenz 1985:		Permo-Carboniferous Sediments				77.8	14.5	Sedimentary	Brachiopod Cherty/Spirifer Lst, Hyrnefjellet, Treskelodden Fmn.		77.8	14.5		Limestone		Outcrop				Spitsbergen (Svalbard)		Spitsbergen	
Europe	Italy	:Jackson 1990:		Monte Maiella Limestones		Monte Maiella Limestones		42.1	14.2	Sedimentary	Barremian. Superseded study.		42.1	14.2		Limestone		Outcrop				Southern Apennines			
Europe	Italy	:Channell et al. 1992:		Upper Maiolica Formation		Upper Maiolica Formation		46	12	Sedimentary	Hauterivian to Barremian age. Superseded study.		46	12		Limestone		Outcrop				Venetian Alps			
Europe	Albania	:Mauritsch et al. 1995:		Upper Cretaceous Limestones				39.9	20.2	Sedimentary			39.9	20.2		Limestone		Outcrop				Albania			
Europe	Albania	:Mauritsch et al. 1995:		Lower Cretaceous Limestones				39.8	20	Sedimentary			39.8	20		Limestone		Outcrop				Albania			
Europe	Greece	:Muttoni et al. 1995:		Marmarotrapeza Formation, Comp.B		Marmarotrapeza Formation		38.2	26	Sedimentary	Spathian to Anisian age.		38.2	26		sediments		Outcrop				Chios Island			
Europe	Spain	:Dinares-Turell & Garcia-Senz 2000:		Organya Berriasian-Barremian Sediments, Group 2		Organya Basin		42.2	1.3	Sedimentary	Berriasian to Barremian.		42.2	1.3		Limestone : marl		Outcrop				Northern Spain		Iberia	
Europe	Italy	:Channell et al. 2000:		Cismon Section		Cismon Section		46	11.8	Sedimentary	Upper Hauterivian to Albian. Extent Thickness 117m.		46	11.8		Limestone : shales		Outcrop				Southern Alps			
Europe	Poland	:Jowett et al. 1987:		Rote Faule ores		Rote Faule ores		51.1	15.8	Sedimentary	Basal Zechstein (base PU). Kupferschiefer mineralisation. . subhorizontal.		51.1	15.8		oxidizedhematite		Outcrop				Poland			
Europe	Norway	:Jelenska & Vincenz 1985:		Combined Cretaceous Sills, Dykes				77.5	17	Intrusive			77.5	17		Intrusives		Outcrop				Spitsbergen (Svalbard)		Spitsbergen	
Europe	Italy	:Jackson 1990:		Monte Raparo Limestones		Monte Raparo		40.2	16	Sedimentary	Neocomian to Aptian age?.		40.2	16		Limestone		Outcrop				Southern Apennines			
Europe	Russia	:Grishin et al. 1991:		Armovskaya Suite		Armovskaya Suite		44	42	Metamorphic	Superseded study.		44	42		plagiogneisses		Outcrop				N.Caucasus			
Europe	Albania	:Mauritsch et al. 1995:		Lower Jurassic Limestones				39.9	20.1	Sedimentary			39.9	20.1		Limestone		Outcrop				Albania			
Europe	Spain	:Juarez et al. 1994:		Oxfordian Sediments, Comp.P				41.3	358.9	Sedimentary	Middle to Late Oxfordian. Folding Oligocene-Miocene.		41.3	358.9		Limestone		Outcrop				Iberian Range		Iberia	
Europe	Portugal	:Marton et al. 2004:		Lusitanian, Algarve Basins Cretaceous Sediments				38	351.5	Sedimentary	Albian - Cenomanian.		38	351.5		sediments		Outcrop				South Portugal		Iberia	
