tab 	magic_measurements
er_analyst_mail_names	er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_method_codes	magic_software_packages	measurement_csd	measurement_date	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_standard	measurement_temp	measurement_time_zone	treatment_ac_field	treatment_dc_field	treatment_dc_field_phi	treatment_dc_field_theta	treatment_temp
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				123.70		g	31.4	9.30E-08	27		u	273			2.50E-05	0	90	6.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				124.20		g	16.2	7.96E-08	28		u	273			0	0	0	6.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.40		g	33	8.97E-08	29		u	273			2.50E-05	0	90	6.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.50		g	12.9	7.26E-08	30		u	273			0	0	0	6.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				122.20		g	31.5	7.98E-08	31		u	273			2.50E-05	0	90	6.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				123.30		g	37.8	8.79E-08	32		u	273			2.50E-05	0	90	6.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				121.20		g	13.8	6.17E-08	33		u	273			0	0	0	6.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				120.30		g	43.8	8.14E-08	34		u	273			2.50E-05	0	90	6.98E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				118.80		g	16.1	4.49E-08	35		u	273			0	0	0	7.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				119.90		g	46.9	6.71E-08	36		u	273			2.50E-05	0	90	6.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				122.40		g	59.4	8.88E-08	37		u	273			2.50E-05	0	90	7.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				116.10		g	15	2.09E-08	38		u	273			0	0	0	7.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				111.90		g	76.4	8.63E-08	39		u	273			2.50E-05	0	90	7.48E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-Z:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				113.60		g	1.3	1.07E-08	40		u	273			0	0	0	7.73E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-PTRM-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				111.90		g	80.7	6.30E-08	41		u	273			2.50E-05	0	90	7.23E+02
Bowles	10.1029/2005GC001141	EPR	AL2360-1	1991-1992 Eruption Site	AL2360-1a	AL2360-1a:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT	LT-T-I:LP-PI-TRM:LP-PI-TRM-ZI:LP-PI-ALT				110.30		g	84.9	9.09E-08	42		u	273			2.50E-05	0	90	7.73E+02
