tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b_beta	specimen_correction	specimen_dck	specimen_dpal	specimen_dt	specimen_dtr	specimen_f	specimen_frac	specimen_gmax	specimen_int	specimen_int_alpha	specimen_int_corr_anisotropy	specimen_int_corr_cooling_rate	specimen_int_corr_nlt	specimen_int_dang	specimen_int_mad	specimen_int_mad_anc	specimen_int_n	specimen_int_ptrm_n	specimen_k_prime	specimen_lab_field_dc	specimen_q	specimen_scat
This study	EPR	AL3035-2	1991-1992 Eruption Site	AL3035-2h	AL3035-2h : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	673	498	K	0.02	u	2.42	4.86	-999.00	0.63	0.53	0.51	0.17	3.71e-05	1.82	1.00			1.97	2.27	0.80	8	5	-0.00	2.50e-05	19.28	1
This study	EPR	AL3035-2	1991-1992 Eruption Site	AL3035-2i	AL3035-2i : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	648	498	K	0.02	u	0.79	0.06	-999.00	2.02	0.57	0.56	0.20	3.69e-05	1.74	1.00			1.96	1.55	0.81	7	4	0.08	2.50e-05	25.40	1
This study	EPR	AL3035-2	1991-1992 Eruption Site	AL3035-2j	AL3035-2j : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM : LP-PI-BT-MD	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:LP-PI-BT-MD:IE-TT	773	473	K	0.01	u	1.54	0.10	-999.00	2.62	0.89	0.90	0.12	3.63e-05	0.61	1.00			0.91	1.06	0.75	13	7	0.03	2.50e-05	101.44	1
This study	EPR	AL3156-1	1991-1992 Eruption Site	AL3156-1a	AL3156-1a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	698	473	K	0.04	u	1.81	1.52	-999.00	nan	0.51	0.46	0.20	3.78e-05	1.92	1.00			2.02	3.57	0.91	10	6	-0.17	2.50e-05	10.18	1
This study	EPR	AL3159-1	1991-1992 Eruption Site	AL3159-1a	AL3159-1a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	723	498	K	0.09	u	3.14	4.46	-999.00	nan	0.62	0.53	0.22	3.64e-05	3.34	1.00			3.62	6.93	2.18	10	7	0.30	2.50e-05	5.80	1
This study	EPR	AL3166-1	1991-1992 Eruption Site	AL3166-1a	AL3166-1a : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	548	K	0.06	u	4.50	4.73	-999.00	nan	0.76	0.62	0.19	3.18e-05	5.37	1.00			6.16	4.30	2.59	10	8	0.47	2.50e-05	10.04	1
This study	EPR	AL3166-1	1991-1992 Eruption Site	AL3166-1b	AL3166-1b : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	698	498	K	0.01	u	1.69	0.52	-999.00	nan	0.70	0.70	0.16	3.36e-05	1.03	1.00			1.34	1.83	1.04	9	6	-0.02	2.50e-05	53.33	1
This study	Hawaii	B	Hawaii 1960 Flow	B-10-1	B-10-1 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	808	503	K	0.07	u	4.84	4.55	-999.00	nan	0.74	0.71	0.31	4.53e-05	0.28	1.00			0.31	0.59	0.21	8	4	-0.00	3.00e-05	8.53	1
This study	Hawaii	B	Hawaii 1960 Flow	B-2-1	B-2-1 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	773	273	K	0.02	u	0.67	1.44	-999.00	nan	0.54	0.53	0.21	4.87e-05	2.03	1.00			2.14	2.11	0.67	8	3	0.07	3.00e-05	20.96	1
This study	Hawaii	B	Hawaii 1960 Flow	B-5-1	B-5-1 : LP-PI-TRM : LP-PI-ZI : LP-PI-ALT-PTRM	LP-PI-TRM:LP-PI-ZI:LP-PI-ALT-PTRM:IE-TT	793	603	K	0.05	u	2.38	3.45	-999.00	nan	0.58	0.57	0.24	5.01e-05	1.68	1.00			1.81	2.09	0.74	7	3	0.25	3.00e-05	9.33	1
