tab	sites
site	location	samples	specimens	age	age_sigma	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens_lines	dir_n_specimens_planes	dir_nrm_origin	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	description	software_packages	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	citations	method_codes	result_quality	result_type	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc105	McMurdo	mc105c : mc105d : mc105j:mc105a	mc105c1 : mc105d1 : mc105j1:mc105a2	0.86	0.035	Ma													-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	2.862e-05	1.917e-06	6.697	4.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc106	McMurdo		mc106b1 : mc106c1 : mc106d1 : mc106e1:mc106a1	13.42	0.09	Ma	3.8	A	19.5	-76.7	410.8	5.0	5.0	0.0	p	n	4.9903	0.0	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc107	McMurdo		mc107d2 : mc107e1 : mc107e2 : mc107h1 : mc107k1 : mc107l1:mc107c1	2.57	0.19	Ma	2.0	A	96.0	-84.8	1007.6	7.0	5.0	2.0	p	n	6.995	0.0	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc107	McMurdo	mc107e	mc107e2	2.57	0.19	Ma													-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	1.524e-05	0.0	0.0	1.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc108	McMurdo		mc108b1 : mc108d1 : mc108g2 : mc108k1:mc108a1	0.41	0.07	Ma	3.8	A	69.8	-72.4	403.2	5.0	5.0	0.0	p	n	4.9901	0.0	-78.247	163.32299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc109	McMurdo		mc109a2 : mc109c1 : mc109d1 : mc109e1 : mc109i1:mc109a1	1.261	0.02	Ma	3.1	A	174.6	75.4	477.4	6.0	6.0	0.0	p	r	5.9895	0.0	-78.282	163.54399999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc109	McMurdo	mc109c : mc109d:mc109a	mc109c1 : mc109d1:mc109a1	1.261	0.02	Ma													-78.282	163.54399999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC	Intensity included in Pmag_Results.	pmagpy-2.60	3.48e-05	1.152e-06	3.3089999999999997	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	g												
mc11	McMurdo		mc11b : mc11c : mc11d : mc11e : mc11f : mc11g : mc11h:mc11a	4.0	4.0	Ma	2.2	A	327.1	-77.1	621.8	8.0	8.0	0.0	p	n	7.9887	0.0	-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
mc11	McMurdo	mc11c : mc11e:mc11b	mc11c : mc11e:mc11b	4.0	4.0	Ma													-77.57	166.23	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	IE-SPEC		pmagpy-2.60	4.328e-05	1.135e-05	26.23	3.0	This study	IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	g												
mc110	McMurdo		mc110b2 : mc110d1 : mc110g1 : mc110i1:mc110a2	7.94	0.12	Ma	5.2	A	253.5	79.6	218.2	5.0	5.0	0.0	p	r	4.9817	0.0	-78.238	163.44299999999998	Extrusive:Igneous	Lava Flow	Basalt	Lisa Tauxe	DE-SPEC	Direction included in Pmag_Results.	pmagpy-2.60					This study	DA-DIR-GEO:DE-BFL:DE-FM	g												
