tab	images
location	site	file	keywords	title	type	citations	photographers	timestamp
McMurdo	mc201	DSC_0226.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 overview	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0227.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0228.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0229.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0230.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0231.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0232.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0233.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0234.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc201	DSC_0235.JPG	McMurdo Volcanics: paleomagnetic sampling :North of Cape Barne	MC201 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0240.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 overview	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0242.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0243.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0244.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0245.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
McMurdo	mc202	DSC_0246.JPG	McMurdo Volcanics: paleomagnetic sampling :Inaccessible Island	MC202 detail of samples	Outcrop	This study	Hubert Staudigel	2006-11-27T00:00:00Z
