tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	description	azimuth	azimuth_dec_correction	dip	orientation_quality	citations	method_codes
mc154a	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		216.9	0	-90.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154b	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		232.3	0	-87.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154c	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		230.3	0	-83.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154d	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		235.8	0	-82.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154e	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		213.5	0	-79.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154f	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		220.3	0	-86.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154g	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		284.0	0	-59.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154h	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		292.7	0	-57.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154i	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		251.5	0	-42.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc154j	mc154	-77.719	162.626	Extrusive:Igneous	Lava Flow	Basalt		252.2	0	-43.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155a	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		103.6	0	-44.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155b	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		149.8	0	-47.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155c	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		15.3	0	-24.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155d	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		75.0	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155e	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		47.0	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155f	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		67.7	0	-25.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155g	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		85.5	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155h	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		342.9	0	-16.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155i	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		86.2	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155j	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		100.4	0	-36.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155k	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		78.6	0	-36.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155l	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		51.4	0	-21.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155m	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		83.4	0	-25.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc155n	mc155	-77.699	162.253	Extrusive:Igneous	Lava Flow	Basalt		51.6	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156a	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		171.1	0	-62.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156b	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: bad mark in field##.	188.6	0	-58.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156c	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		199.3	0	-54.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156d	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		200.0	0	-50.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156e	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		185.7	0	-58.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156f	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		194.0	0	-54.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156g	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		161.2	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156h	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		172.9	0	-35.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156i	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		152.6	0	-89.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc156j	mc156	-77.705	162.592	Extrusive:Igneous	Lava Flow	Basalt		162.9	0	-87.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157a	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		16.7	0	-36.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157b	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		37.4	0	-38.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157c	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		85.4	0	-43.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157d	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt			0		b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157e	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		56.3	0	-31.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157f	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		35.1	0	-23.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157g	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		59.8	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157h	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		17.5	0	-51.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157j	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		9.4	0	-35.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157k	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		5.6	0	-39.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157l	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		27.9	0	-29.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157m	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		35.6	0	-37.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc157n	mc157	-77.703	162.264	Extrusive:Igneous	Lava Flow	Basalt		8.6	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158a	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		40.5	0	-14.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158b	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		72.7	0	-22.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158c	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		57.5	0	-12.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158d	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		71.2	0	-18.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158e	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		36.2	0	-10.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158f	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		89.0	0	-9.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158g	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		60.7	0	-22.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158h	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		40.7	0	-31.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158i	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		50.0	0	-31.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc158j	mc158	-77.688	162.46200000000002	Extrusive:Igneous	Lava Flow	Basalt		144.7	0	-7.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc15a	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	157.0	0	-21.0	g	This study	SO-SIGHT:FS-FD
mc15b	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	179.0	0	-34.0	g	This study	SO-SIGHT:FS-FD
mc15c	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	131.0	0	-47.0	g	This study	SO-SIGHT:FS-FD
mc15d	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	135.0	0	-33.0	g	This study	SO-SIGHT:FS-FD
mc15e	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	120.0	0	-34.0	g	This study	SO-SIGHT:FS-FD
mc15f	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	123.0	0	-31.0	g	This study	SO-SIGHT:FS-FD
mc15g	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	111.0	0	-59.0	g	This study	SO-SIGHT:FS-FD
mc15h	mc15	-77.47	169.23	Extrusive:Igneous	Lava Flow	Basalt	Archived samples from 1965, 66 expeditions.	125.0	0	-42.0	g	This study	SO-SIGHT:FS-FD
mc160a	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		315.9	0	-46.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160b	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		309.7	0	-51.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160c	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		22.4	0	-22.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160d	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		347.8	0	-14.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160e	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		25.6	0	-30.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160f	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		340.3	0	-30.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160g	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		290.0	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160h	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		291.7	0	-45.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160i	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		297.2	0	-50.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160j	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		307.9	0	-47.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160k	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		246.6	0	-32.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc160l	mc160	-77.687	162.35399999999998	Extrusive:Igneous	Lava Flow	Basalt		280.9	0	-52.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161a	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		345.4	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161b	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		331.1	0	-25.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161c	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		307.4	0	-21.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161d	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		334.6	0	-29.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161e	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		14.1	0	-23.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161f	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		20.8	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161g	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		11.6	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161h	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		28.3	0	-27.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161i	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		5.8	0	-32.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161j	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: bad mark in field##.	6.5	0	-26.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc161k	mc161	-77.702	162.694	Extrusive:Igneous	Lava Flow	Basalt		37.7	0	-30.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162a	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		209.4	0	-50.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162b	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		217.9	0	-47.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162c	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		137.6	0	-51.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162d	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		142.0	0	-42.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162e	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		193.8	0	-63.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162f	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		199.2	0	-63.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162g	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		198.4	0	-55.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162h	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		205.1	0	-50.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162i	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		229.6	0	-48.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc162j	mc162	-77.70100000000001	162.69	Extrusive:Igneous	Lava Flow	Basalt		242.3	0	-50.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163a	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		52.7	0	-28.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163b	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		48.2	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163c	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		42.7	0	-39.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163d	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		68.9	0	-44.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163e	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		60.8	0	-32.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163f	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		69.6	0	-28.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163g	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		21.3	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163h	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt	## direction deleted because: overprint during thellier##.	46.0	0	-28.0	b	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163i	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		191.8	0	-19.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163j	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		181.2	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc163k	mc163	-77.7	162.68	Extrusive:Igneous	Lava Flow	Basalt		39.4	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164a	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		105.0	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164b	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		107.7	0	-18.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164c	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		75.9	0	-28.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164d	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		89.2	0	-29.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164e	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		75.9	0	-27.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164f	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		76.1	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164g	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		115.9	0	-25.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164h	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		120.6	0	-27.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164i	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		326.3	0	-19.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164j	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		358.1	0	-19.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164k	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		22.3	0	-26.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc164l	mc164	-77.514	169.33	Extrusive:Igneous	Lava Flow	Basalt		72.6	0	-14.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165a	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		190.8	0	-64.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165b	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		206.2	0	-68.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165c	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		134.4	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165d	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		141.1	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165e	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		139.8	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165f	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		154.3	0	-53.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165g	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		162.0	0	-57.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165h	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		170.2	0	-62.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165i	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		110.9	0	-46.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc165j	mc165	-77.513	169.332	Extrusive:Igneous	Lava Flow	Basalt		117.6	0	-50.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc166a	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		324.3	0	-16.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc166b	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		15.6	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc166c	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		9.5	0	-59.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc166d	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		10.3	0	-57.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc166e	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		340.5	0	-35.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc166f	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		39.0	0	-26.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc166g	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		316.5	0	-51.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc166h	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		330.5	0	-46.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc166i	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		4.5	0	-49.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc166j	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		17.0	0	-47.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc166l	mc166	-77.84899999999999	166.67	Extrusive:Igneous	Lava Flow	Basalt		10.5	0	-51.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc167a	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		48.2	0	-20.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167b	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		203.0	0	-21.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167c	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		180.0	0	-24.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167d	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		194.7	0	-23.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167e	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		200.4	0	-32.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167f	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		217.9	0	-28.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167g	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		156.7	0	-25.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167h	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		148.4	0	-21.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167i	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		171.2	0	-23.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167j	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		263.1	0	-36.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc167k	mc167	-77.487	169.294	Extrusive:Igneous	Lava Flow	Basalt		272.4	0	-32.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc168a	mc168	-77.488	169.292	Extrusive:Igneous	Lava Flow	Basalt		5.5	0	-29.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc168b	mc168	-77.488	169.292	Extrusive:Igneous	Lava Flow	Basalt		20.0	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc168c	mc168	-77.488	169.292	Extrusive:Igneous	Lava Flow	Basalt		343.7	0	-20.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
