tab	samples
sample	site	lat	lon	geologic_classes	geologic_types	lithologies	description	azimuth	azimuth_dec_correction	dip	orientation_quality	citations	method_codes
mc102b	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		222.8	0	-82.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102c	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		252.8	0	-61.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102d	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		240.2	0	-57.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102e	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		302.1	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102f	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		240.5	0	-84.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102g	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		244.2	0	-72.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102h	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		246.7	0	-76.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102i	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		119.0	0	-72.0	b	This study	FS-LOC-GPS:SO-CMD-NORTH:SO-POM:FS-FD
mc102j	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		277.9	0	-75.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102k	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		226.9	0	-51.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102l	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		251.3	0	-82.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc102m	mc102	-78.235	163.352	Extrusive:Igneous	Lava Flow	Basalt		296.7	0	-66.0	b	This study	FS-LOC-GPS:SO-CMD-NORTH:SO-POM:FS-FD
mc103a	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		147.8	0	-37.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103b	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		141.2	0	-45.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103c	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		151.2	0	-59.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103d	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		152.5	0	-71.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103e	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		159.7	0	-57.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103f	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		147.0	0	-74.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103g	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		140.9	0	-73.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103h	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		150.4	0	-62.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103i	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		147.7	0	-67.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103j	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		142.4	0	-64.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103k	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		128.1	0	-58.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc103l	mc103	-78.235	163.36	Extrusive:Igneous	Lava Flow	Basalt		173.1	0	-42.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104a	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		37.5	0	-70.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104b	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		32.8	0	-85.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104c	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		66.1	0	-82.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104d	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		66.8	0	-94.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104e	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		53.3	0	-56.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104f	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		13.8	0	-59.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104g	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		8.0	0	-46.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104h	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		28.8	0	-59.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104i	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		78.8	0	-54.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104j	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		54.0	0	-62.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc104k	mc104	-78.238	163.401	Extrusive:Igneous	Lava Flow	Basalt		55.3	0	-70.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc105a	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		161.3	0	-38.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc105b	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		166.8	0	-41.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc105c	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		266.7	0	-27.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc105d	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		170.7	0	-27.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105e	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		77.7	0	-58.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105f	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		171.0	0	-50.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105g	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		139.2	0	-51.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105h	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		149.2	0	-46.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105i	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		139.5	0	-53.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105j	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		164.0	0	-67.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105k	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		162.0	0	-60.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105l	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		158.98	0	-39.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105m	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		149.5	0	-36.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc105n	mc105	-78.245	163.231	Extrusive:Igneous	Lava Flow	Basalt		147.5	0	-49.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc106a	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		262.9	0	-29.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106b	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		218.6	0	-34.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc106c	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		177.6	0	-78.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106d	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		178.9	0	-65.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106e	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		198.7	0	-52.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106f	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		178.7	0	-58.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106g	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		193.3	0	-28.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106h	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		216.9	0	-30.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106i	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		236.5	0	-74.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106j	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		245.8	0	-56.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106k	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		143.5	0	-46.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc106l	mc106	-78.21	163.308	Extrusive:Igneous	Lava Flow	Basalt		130.2	0	-43.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc107a	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		228.0	0	-52.5	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc107b	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		231.8	0	-46.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc107c	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		168.7	0	-34.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc107d	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		175.2	0	-34.5	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
mc107e	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		181.1	0	-37.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc107f	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		198.3	0	-32.0	g	This study	FS-LOC-GPS:SO-GPS-DIFF:SO-POM:FS-FD
mc107g	mc107	-78.204	163.347	Extrusive:Igneous	Lava Flow	Basalt		167.5	0	-54.0	g	This study	FS-LOC-GPS:SO-POM:SO-SUN:FS-FD
